ID,Name,Sex,Age,Height,Weight,Sport,Event,Medal
117577,Imre Szllsi,M,19,183,83,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
117580,Tams Szombathelyi,M,27,177,70,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
117600,Zygfryd Ludwik Szotysik,M,29,162,60,Football,Football Men's Football,Gold
117609,Zoltn Sztanity,M,22,183,82,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
117626,Lajos Szcs,M,26,145,55,Weightlifting,Weightlifting Men's Flyweight,Silver
117627,Lajos Szcs,M,24,179,74,Football,Football Men's Football,Gold
117646,Irena Szydowska,F,44,168,74,Archery,Archery Women's Individual,Silver
117651,Antoni Jan Szymanowski,M,21,180,73,Football,Football Men's Football,Gold
117662,Ryszard Wiesaw Szymczak,M,27,170,65,Football,Football Men's Football,Gold
117666,Kerstin Szymkowiak (Jrgens-),F,32,164,70,Skeleton,Skeleton Women's Skeleton,Silver
117686,an Tabak,M,22,213,117,Basketball,Basketball Men's Basketball,Silver
117688,Maya Tabakova,F,18,169,47,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
117692,Chiara Tabani,F,21,176,72,Water Polo,Water Polo Women's Water Polo,Silver
117693,Carlos Alberto Tabares Padilla,M,30,171,72,Baseball,Baseball Men's Baseball,Gold
117699,"Norman Stephen ""Norm"" Taber",M,20,174,52,Athletics,"Athletics Men's 1,500 metres",Bronze
117726,Miya Tachibana,F,21,170,55,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
117755,Taeke Wiebe Doekes Taekema,M,24,180,85,Hockey,Hockey Men's Hockey,Silver
117764,Cludio Andr Mergen Taffarel,M,22,182,80,Football,Football Men's Football,Silver
117771,Neculai aga,M,25,192,94,Rowing,Rowing Men's Coxed Pairs,Bronze
117787,Matteo Tagliariol,M,25,188,78,Fencing,"Fencing Men's epee, Individual",Gold
117832,Jacinthe Taillon,F,23,167,57,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
117837,Armas Rudolf Taipale,M,21,191,92.5,Athletics,Athletics Men's Discus Throw,Gold
117843,Robert Blyth Tait,M,31,163,63,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
117858,Vitali Tajbert,M,22,166,57,Boxing,Boxing Men's Featherweight,Bronze
117859,"Rudolf ""Rudy"" Tajcnr",M,23,176,82,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
117878,Takayuki Takabayashi,M,23,171,76,Baseball,Baseball Men's Baseball,Silver
117880,Silvester Taka,M,19,169,71,Football,Football Men's Football,Gold
117898,Yuji Takada,M,22,162,52,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
117908,Ayaka Takahashi,F,26,165,60,Badminton,Badminton Women's Doubles,Gold
117919,Kaori Takahashi,F,22,165,56,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
117930,Naoko Takahashi,F,28,161,52,Athletics,Athletics Women's Marathon,Gold
117945,Yoshinobu Takahashi,M,29,180,87,Baseball,Baseball Men's Baseball,Bronze
117962,Yasunori Takami,M,28,173,74,Baseball,Baseball Men's Baseball,Bronze
117987,Megumi Takase,F,21,164,63,Football,Football Women's Football,Silver
117999,Naohisa Takato,M,23,160,60,Judo,Judo Men's Extra-Lightweight,Bronze
118004,Suzue Takayama,F,21,170,60,Volleyball,Volleyball Women's Volleyball,Silver
118006,Shoko Takayanagi (-Yoshida),F,21,170,63,Volleyball,Volleyball Women's Volleyball,Gold
118016,Miho Takeda,F,19,165,54,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
118056,Gholam Reza Takhti,M,21,180,87,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
118059,Makoto Takimoto,M,25,174,81,Judo,Judo Men's Half-Middleweight,Gold
118069,"Samuel Rafael ""Sameli"" Tala",M,30,175,67,Athletics,"Athletics Men's 3,000 metres, Team",Gold
118074,Lasha Talakhadze,M,22,197,160,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
